№;Страна;Население;Дата;% от населения Земли
202; Остров Мэн (Брит.);86 000;1 июля 2013;0,00%
203; Андорра;76 246;1 января 2012;0,00%
204; Доминика;72 000;1 июля 2013;0,00%
205; Бермуды (Брит.);65 000;1 июля 2013;0,00%
206; Гернси (Брит.);63 085;31 марта 2012;0,00%
207; Каймановы острова (Брит.);58 000;1 июля 2013;0,00%
208; Гренландия (Дания);57 000;1 июля 2013;0,00%
209; Американское Самоа (США);55 000;1 июля 2013;0,00%
210; Сент-Китс и Невис;54 000;1 июля 2013;0,00%
211; Северные Марианские острова (США);54 000;1 июля 2013;0,00%
212; Маршалловы Острова;53 000;1 июля 2013;0,00%
213; Фарерские острова (Дания);48 159;1 октября 2013;0,00%
214; Монако;38 000;1 июля 2013;0,00%
215; Синт-Мартен (Нид.);37 429;1 января 2010;0,00%
216; Лихтенштейн;36 838;1 января 2013;0,00%
217; Сен-Мартен (Франция);36 824;1 января 2009;0,00%
218; Теркс и Кайкос (Брит.);33 000;1 июля 2013;0,00%
219; Сан-Марино;31 000;1 июля 2013;0,00%
220; Гибралтар (Брит.);30 001;1 июля 2012;0,00%
221; Аландские острова (Финляндия);28 502;31 декабря 2012;0,00%
222; Британские Виргинские острова (Брит.);28 000;1 июля 2013;0,00%
223; Бонэйр, Синт-Эстатиус и Саба (Нидерланды);23 296;1 января 2013;0,00%
224; Палау;21 000;1 июля 2013;0,00%
225; Острова Кука (Нов. Зел.);21 000;1 июля 2013;0,00%
226; Ангилья (Брит.);14 000;1 июля 2013;0,00%
227; Уоллис и Футуна (Франция);13 000;1 июля 2013;0,00%
228; Тувалу;10 000;1 июля 2013;0,00%
229; Науру;10 000;1 июля 2013;0,00%
230; Сен-Бартелеми (Франция);8902;1 января 2009;0,00%
231; Сен-Пьер и Микелон (Франция);6082;1 января 2009;0,00%
232; Монтсеррат (Брит.);5000;1 июля 2013;0,00%
233;Острова Святой Елены, Вознесения и Тристан-да-Кунья (Брит.);4000;1 июля 2013;0,00%
234; Фолклендские острова (Брит.);3000;1 июля 2013;0.00005 %
235; Шпицберген (Норвегия);2655;1 сентября 2012;0.00005 %
236; Остров Норфолк (Австралия);2302;9 августа 2011;0.00005 %
237; Остров Рождества (Австралия);2072;9 августа 2011;0.00003 %
238; Токелау (Нов. Зел.);1411;18 октября 2011;0.00005 %
239; Ниуэ (Нов. Зел.);1000;1 июля 2013;0.00003 %
240; Ватикан;793;1 марта 2011;0.00002 %
241; Кокосовые острова (Австралия);550;9 августа 2011;0.00001 %
242; Острова Питкэрн (Брит.);56;1 февраля 2013;0.000002 %
